id,username,email,first_name,last_name
1,bingobongo1,bingobongo1@yamdb.fake,Michael,Davis
2,capt_obvious2,capt_obvious2@yamdb.fake,Emily,Johnson
3,faust3,faust3@yamdb.fake,William,Miller
4,reviewer4,reviewer4@yamdb.fake,Olivia,Smith
5,angry5,angry5@yamdb.fake,James,Jones
6,bingobongo6,bingobongo6@yamdb.fake,Ava,Williams
7,capt_obvious7,capt_obvious7@yamdb.fake,Isabella,Brown
8,faust8,faust8@yamdb.fake,Sophia,Taylor
9,reviewer9,reviewer9@yamdb.fake,Charlotte,Lewis
10,angry10,angry10@yamdb.fake,Michael,Hall
11,bingobongo11,bingobongo11@yamdb.fake,Alexander,Clark
12,capt_obvious12,capt_obvious12@yamdb.fake,Amelia,Lee
13,faust13,faust13@yamdb.fake,Harper,Johnson
14,reviewer14,reviewer14@yamdb.fake,Ethan,Allen
15,angry15,angry15@yamdb.fake,Ella,Parker
16,bingobongo16,bingobongo16@yamdb.fake,Liam,Scott
17,capt_obvious17,capt_obvious17@yamdb.fake,Mia,Wilson
18,faust18,faust18@yamdb.fake,Evelyn,Young
19,reviewer19,reviewer19@yamdb.fake,Michael,King
20,angry20,angry20@yamdb.fake,Abigail,Carter
